"CFIPS","YEAR","COUNTY","Total Population","Births","Deaths","Net Migration","Natural Increase","Census Building Permits","Group Quarters Population","Household Population","Households","Household Size","Total Housing Units","Vacancy Rate","Vacant Housing Units",
"125","2010","Yuma County","10032","128","92","-40","36","0","196","9,836","3,947","2.49","4,466","11.62","519",
"1","2011","Adams County","451749","7244","2462","3,255","4,782","671","4,028","447,721","157,300","2.85","163,875","4.01","6,575",
"3","2011","Alamosa County","15679","234","131","102","103","38","740","14,939","6,090","2.45","6,600","7.73","510",
"5","2011","Arapahoe County","585507","7721","3426","6,518","4,295","1,254","4,795","580,712","229,419","2.53","239,195","4.09","9,776",
"7","2011","Archuleta County","12003","137","82","-112","55","37","129","11,874","5,232","2.27","8,818","40.67","3,586",
"9","2011","Baca County","3799","41","73","36","-32","2","82","3,717","1,690","2.2","2,250","24.89","560",
"11","2011","Bent County","6304","44","60","-92","-16","0","2,114","4,190","1,789","2.34","2,243","20.24","454",
"13","2011","Boulder County","300171","2994","1511","2,476","1,483","710","10,003","290,168","121,242","2.39","127,873","5.19","6,632",
"14","2011","Broomfield County","57211","701","322","725","379","232","282","56,929","21,923","2.6","22,894","4.24","971",
"15","2011","Chaffee County","18012","147","157","169","-10","101","1,492","16,520","7,668","2.15","10,129","24.3","2,461",
"17","2011","Cheyenne County","1864","21","21","30","0","1","42","1,822","799","2.28","976","18.14","177",
"19","2011","Clear Creek County","9070","70","58","-56","12","13","90","8,980","4,198","2.14","5,700","26.35","1,502",
"21","2011","Conejos County","8282","104","88","-16","16","17","36","8,246","3,128","2.64","4,307","27.37","1,179",
"23","2011","Costilla County","3647","37","32","110","5","24","0","3,647","1,605","2.27","2,649","39.41","1,044",
"25","2011","Crowley County","5817","34","36","25","-2","4","2,638","3,179","1,322","2.4","1,563","15.42","241",
"27","2011","Custer County","4227","22","29","-38","-7","67","150","4,077","1,912","2.13","4,034","52.6","2,122",
"29","2011","Delta County","30370","344","356","-474","-12","10","680","29,690","12,472","2.38","14,567","14.38","2,095",
"31","2011","Denver County","620684","9622","4184","10,128","5,438","1,232","16,220","604,464","272,244","2.22","287,753","5.39","15,509",
"33","2011","Dolores County","2025","18","17","-36","1","0","0","2,025","882","2.3","1,468","39.92","586",
"35","2011","Douglas County","292478","3557","905","2,730","2,652","2,490","772","291,706","104,489","2.79","107,869","3.13","3,380",
"37","2011","Eagle County","51649","650","83","-990","567","56","70","51,579","19,025","2.71","31,382","39.38","12,357",
"43","2011","Fremont County","47406","379","528","352","-149","53","9,053","38,353","16,682","2.3","19,313","13.62","2,631",
"45","2011","Garfield County","56005","863","294","-698","569","37","868","55,137","20,224","2.73","23,363","13.44","3,139",
"47","2011","Gilpin County","5448","47","28","-34","19","4","49","5,399","2,463","2.19","3,568","30.97","1,105",
"49","2011","Grand County","14548","106","66","-282","40","87","222","14,326","6,338","2.26","16,181","60.83","9,843",
"51","2011","Gunnison County","15269","152","58","-5","94","73","721","14,548","6,549","2.22","11,505","43.08","4,956",
"53","2011","Hinsdale County","824","5","7","-17","-2","7","56","768","353","2.18","1,398","74.75","1,045",
"55","2011","Huerfano County","6504","46","105","-92","-59","30","165","6,339","3,037","2.09","5,119","40.67","2,082",
"57","2011","Jackson County","1372","12","10","-17","2","7","2","1,370","639","2.14","1,295","50.66","656",
"59","2011","Jefferson County","539721","5529","3738","1,984","1,791","603","7,722","531,999","220,186","2.42","230,724","4.57","10,538",
"61","2011","Kiowa County","1445","20","22","48","-2","6","14","1,431","640","2.24","813","21.28","173",
"63","2011","Kit Carson County","8181","105","83","93","22","2","874","7,307","3,084","2.37","3,529","12.61","445",
"69","2011","Larimer County","305078","3313","1861","3,248","1,452","1,187","8,376","296,702","122,593","2.42","134,051","8.55","11,458",
"71","2011","Las Animas County","15045","149","196","-318","-47","20","861","14,184","6,181","2.29","8,230","24.9","2,049",
"73","2011","Lincoln County","5397","64","52","-30","12","1","971","4,426","1,944","2.28","2,423","19.77","479",
"75","2011","Logan County","22254","212","182","-130","30","15","3,535","18,719","8,009","2.34","9,000","11.01","991",
"77","2011","Mesa County","148108","1908","1296","17","612","364","4,791","143,317","58,255","2.46","63,183","7.8","4,928",
"79","2011","Mineral County","706","5","3","-1","2","5","0","706","352","2.01","1,212","70.96","860",
"81","2011","Moffat County","13402","187","67","-524","120","7","102","13,300","5,308","2.51","6,209","14.51","901",
"83","2011","Montezuma County","25463","308","288","-89","20","11","237","25,226","10,511","2.4","12,109","13.2","1,598",
"85","2011","Montrose County","40894","492","399","-387","93","62","542","40,352","16,330","2.47","18,353","11.02","2,023",
"87","2011","Morgan County","28434","460","277","55","183","2","564","27,870","10,396","2.68","11,503","9.62","1,107",
"89","2011","Otero County","18831","245","216","-36","29","3","433","18,398","7,729","2.38","8,973","13.86","1,244",
"91","2011","Ouray County","4422","29","19","-34","10","20","0","4,422","2,016","2.19","3,104","35.05","1,088",
"93","2011","Park County","16096","117","83","-200","34","95","92","16,004","7,125","2.25","14,065","49.34","6,940",
"95","2011","Phillips County","4373","51","61","-82","-10","3","60","4,313","1,791","2.41","2,092","14.39","301",
"97","2011","Pitkin County","17125","175","53","-153","122","44","72","17,053","8,139","2.1","12,994","37.36","4,855",
"99","2011","Prowers County","12467","142","149","-57","-7","2","315","12,152","4,903","2.48","5,945","17.53","1,042",
"101","2011","Pueblo County","160157","1865","1651","441","214","291","4,327","155,830","63,410","2.46","69,872","9.25","6,462",
"103","2011","Rio Blanco County","6696","106","40","103","66","21","145","6,551","2,697","2.43","3,323","18.84","626",
"105","2011","Rio Grande County","11905","143","122","-117","21","18","198","11,707","4,747","2.47","6,651","28.63","1,904",
"107","2011","Routt County","23237","228","88","-345","140","27","338","22,899","9,774","2.34","16,349","40.22","6,575",
"109","2011","Saguache County","6184","79","37","-2","42","35","18","6,166","2,675","2.31","3,890","31.23","1,215",
"111","2011","San Juan County","693","8","8","-16","0","1","0","693","341","2.03","758","55.01","417",
"113","2011","San Miguel County","7477","76","18","63","58","25","9","7,468","3,507","2.13","6,683","47.52","3,176",
"115","2011","Sedgwick County","2367","29","41","12","-12","0","35","2,332","1,087","2.15","1,415","23.18","328",
"117","2011","Summit County","27954","308","54","-373","254","117","273","27,681","11,736","2.36","30,024","60.91","18,288",
